id,date,home_team,away_team,home_goals,away_goals,match_result,ht_home_goals,ht_away_goals,ht_result,home_shots,away_shots,home_shots_target,away_shots_target,home_red_cards,away_red_cards,b365h,b365d,b365a,season,league,home_team_goals_avg_last_5,away_goals_avg_last_5,ht_home_goals_avg_last_5,ht_away_goals_avg_last_5,home_balance_1h,home_balance_2h,away_balance_1h,away_balance_2h,home_form_1h_last_5,away_form_1h_last_5,home_form_2h_last_5,away_form_2h_last_5,home_shots_avg_last_5,away_shots_avg_last_5,home_shots_target_avg_last_5,away_shots_target_avg_last_5,home_red_cards_avg_last_5,away_red_cards_avg_last_5,home_goals_conceded_avg_last_5,away_goals_conceded_avg_last_5,target,home_points,away_points,home_points_avg_last_5,away_points_avg_last_5,home_overall_points_last_5,away_overall_points_last_5
122,2021-08-28,Man City,Arsenal,5,0,H,3,0,H,25,1,10,0,0,1,1.25,6.0,12.0,2122,E0,5.0,0.0,2.0,0.0,3,2,-3,-2,2.0,-1.0,3.0,-1.0,16.0,22.0,4.0,4.0,0.0,0.0,0.0,2.0,2,3,0,3.0,0.0,1.5,0.0
121,2021-08-28,Brighton,Everton,0,2,A,0,1,A,14,14,3,5,0,0,2.3,3.2,3.3,2122,E0,2.0,2.0,2.0,1.0,-1,-1,1,1,2.0,-0.0,0.0,-0.0,13.0,17.0,3.0,8.0,0.0,0.0,0.0,2.0,0,0,3,3.0,1.0,3.0,2.0
117,2021-08-28,Augsburg,Leverkusen,1,4,A,1,2,A,13,13,4,5,0,0,4.75,3.8,1.72,2122,D1,0.0,1.0,0.0,1.0,-1,-2,1,2,-1.0,-0.0,-3.0,-0.0,7.0,16.0,0.0,4.0,0.0,0.0,4.0,1.0,0,0,3,0.0,1.0,0.5,2.0
116,2021-08-28,Bielefeld,Ein Frankfurt,1,1,D,0,1,A,14,12,5,3,0,0,3.3,3.6,2.1,2122,D1,0.0,2.0,0.0,1.0,-1,1,1,-1,0.0,-2.0,0.0,-1.0,10.0,12.0,4.0,3.0,0.0,0.0,0.0,5.0,1,1,1,1.0,0.0,1.0,0.5
115,2021-08-28,FC Koln,Bochum,2,1,H,0,0,D,21,10,5,1,0,0,1.83,3.75,4.2,2122,D1,3.0,0.0,1.0,0.0,0,1,0,-1,0.0,-1.0,2.0,-0.0,15.0,7.0,5.0,1.0,0.0,1.0,1.0,1.0,2,3,0,3.0,0.0,1.5,1.5
113,2021-08-28,Liverpool,Chelsea,1,1,D,1,1,D,24,6,7,3,0,1,2.45,3.3,2.9,2122,E0,2.0,2.0,1.0,2.0,0,0,0,0,1.0,2.0,1.0,-0.0,27.0,22.0,9.0,5.0,0.0,0.0,0.0,0.0,1,1,1,3.0,3.0,3.0,3.0
114,2021-08-28,Mainz,Greuther Furth,3,0,H,2,0,H,17,8,9,1,0,0,1.66,4.0,5.0,2122,D1,1.0,1.0,1.0,0.0,2,1,-2,-1,1.0,-2.0,0.0,-2.0,7.0,8.0,2.0,4.0,0.0,0.0,0.0,5.0,2,3,0,3.0,0.0,1.5,0.5
105,2021-08-28,Sociedad,Levante,1,0,H,1,0,H,7,6,2,0,0,0,1.53,4.2,6.0,2122,SP1,1.0,1.0,0.0,1.0,1,0,-1,0,0.0,1.0,1.0,-1.0,13.0,12.0,8.0,3.0,0.0,0.0,0.0,1.0,2,3,0,3.0,1.0,1.5,1.0
106,2021-08-28,Elche,Sevilla,1,1,D,1,1,D,7,18,4,5,0,0,5.0,3.6,1.72,2122,SP1,0.0,1.0,0.0,0.0,0,0,0,0,0.0,-0.0,0.0,1.0,8.0,9.0,2.0,3.0,0.0,0.0,0.0,0.0,1,1,1,1.0,3.0,0.5,3.0
107,2021-08-28,Celta,Ath Bilbao,0,1,A,0,1,A,13,6,0,2,0,0,2.4,3.2,3.1,2122,SP1,1.0,0.0,0.0,0.0,-1,0,1,0,-1.0,-0.0,0.0,-0.0,10.0,9.0,2.0,3.0,1.0,0.0,2.0,0.0,0,0,3,0.0,1.0,0.5,1.0
104,2021-08-28,Betis,Real Madrid,0,1,A,0,0,D,11,13,6,3,0,0,4.2,3.8,1.8,2122,SP1,1.0,3.5,1.0,0.5,0,-1,0,1,0.0,0.5,0.0,1.0,16.0,19.0,7.0,6.0,0.0,0.0,1.0,2.0,0,0,3,1.0,2.0,1.0,2.0
110,2021-08-28,Nice,Bordeaux,4,0,H,3,0,H,11,13,5,4,0,0,1.6,4.2,5.25,2122,F1,0.0,2.0,0.0,0.0,3,1,-3,-1,0.0,-2.0,0.0,2.0,12.0,8.0,2.0,2.0,0.0,0.0,0.0,2.0,2,3,0,1.0,1.0,2.0,0.6666666666666666
111,2021-08-28,West Ham,Crystal Palace,2,2,D,1,0,H,14,9,4,2,0,0,1.55,4.0,6.5,2122,E0,4.0,0.0,1.0,0.0,1,-1,-1,1,1.0,-2.0,2.0,-1.0,13.0,4.0,7.0,1.0,0.0,0.0,1.0,3.0,1,1,1,3.0,0.0,3.0,0.5
112,2021-08-28,Stuttgart,Freiburg,2,3,A,2,3,A,17,14,7,7,0,0,2.15,3.6,3.2,2122,D1,5.0,0.0,2.0,0.0,-1,0,1,0,2.0,-0.0,2.0,-0.0,30.0,14.0,15.0,6.0,0.0,0.0,1.0,0.0,0,0,3,3.0,1.0,1.5,2.0
108,2021-08-28,Marseille,St Etienne,3,1,H,1,1,D,19,11,5,7,0,0,1.7,3.8,4.75,2122,F1,2.0,2.0,2.0,1.0,0,2,0,-2,2.0,-0.0,-2.0,-0.0,10.0,12.0,2.0,7.0,1.0,0.0,2.0,2.0,2,3,0,1.0,1.0,2.0,1.0
146,2021-08-29,Reims,Paris SG,0,2,A,0,1,A,11,12,4,3,0,0,17.0,8.0,1.14,2122,F1,3.0,3.0,2.0,2.0,-1,-1,1,1,-1.0,1.0,1.0,0.5,19.0,14.0,9.0,5.5,0.0,0.0,3.0,1.5,0,0,3,1.0,3.0,1.0,3.0
